HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
忌	ə / ghǝʔs	ə / g'i ̯əg	ə / gjəgh	ɯ / gɯ	ə / giə	ɯ / gɯ	ə / m- k (r) ək -s
忍	ə / nǝrʔ	ə / ȵi ̯ən	ə / njiənx	ɯ / njɯnʔ	ə / ȵiən	ɯ / njɯnʔ	ə / n  ə[n]ʔ
忒	? / ?	ə / t'ək	ə / thək	ɯ / l̥ɯɯɡ	ə / thək	ɯ / lhɯɯg	ə / l̥ˤ  ək
忘	a / maŋ	a / mi ̯waŋ	a / mjaŋ	a / maŋ	a / miaŋ	a / maŋ	a / m  aŋ -s
忡	u / thruŋ	ʊ / thi ̯ʊŋ	ə / thrjəŋw	u / thuŋ	ə / thiuə	u / thuŋ	u / tʰ r uŋ
忽	ə / sm(h)ǝ̄t	ə / xət	ə / hmət	ɯ / m̥hɯɯd	ə / xyət	ɯ / hmɯɯd	u / m̥ˤ  ut
怒	a / nāʔ	o / no	a / nagx	a / naaʔ	a / na	a / naaʔ	a / C. nˤ  aʔ -s
怓	? / ?	o / no ̆g	a / nragw	a / rnaaw	o / neô	a / rnaaw	? / ?
怙	? / ?	o / g'o	a / gagx	a / gaaʔ	a / ɣa	a / gaaʔ	? / ?
怛	a / tāt	a / tat	a / tat	a / taad	a / tat	a / taad	a / tˤ  at
思	ə / sǝ	ə / si ̯əg	ə / sjəg	ɯ / snɯ	ə / siə	ɯ / snɯ	ə / [s]  ə
怠	ə / Ł(h)ǝ̄ʔ	ə / d'əg	ə / dəgx	ɯ / lɯɯʔ	ə / də	ɯ / l'ɯɯʔ	ə / lˤ  əʔ
急	ə / kǝp	ə / ki ̯əp	ə / kjəp	ɯ / krɯb	ə / kiəp	ɯ / krɯb	ə / [k] (r) əp
性	e / seŋs	e / si ̯e ̆ŋ	i / sjiŋ h	e / sqeŋs	e / sieŋ	e / sleŋs	e / s  eŋ -s
怨	a / ʔʷans	a / ʔi ̯wa ̆n	a / ʔjuan	o / qon	a / iuan	o / qon	o / [ʔ]  o[r] -s
怭	i / b(h)it	e / b'i ̯e ̆t	i / bjit	i / blig	e / biet	i / blig	? / ?
怯	a / kh(r)ap	a / k'i ̯ap	a / khjap	a / khab	a / khiap	a / khab	? / ?
怲	? / ?	a / pi ̯a ̆ŋ	a / pjiaŋx	a / pkraŋʔ	a / pyaŋ	a / praŋʔ	? / ?
恃	ə / dhǝʔ	ə / ȡi ̯əg	ə / djəgx	ɯ / djɯʔ	ə / ʑiə	ɯ / djɯʔ	ə / [d]  əʔ
恆	ə / gǝ̄ŋ	ə / g'əŋ	ə / gəŋ	ɯ / gɯɯŋ	ə / 墨ŋ	ɯ / gɯɯŋ	ə / [g]ˤ  əŋ
恌	? / ?	o / di ̯og	a / ragw	e / [g]lew	o / ʎiô	e / lew	? / ?
恤	i / swhit	e / si ̯we ̆t	i / skwjit	i / sqhʷig	e / siuet	i / sqhʷig	i / s- [m]  i[t]
恥	ə / snrǝʔ	ə / thi ̯əg	ə / hnrjəgx	ɯ / m̥lɯʔ	ə / thiə	ɯ / nhɯʔ	ə / n̥ r əʔ
恩	ə / ʔǝ̄n	ə / ʔən	ə / ʔən	ɯ / qɯɯn	ə / yən	ɯ / qɯɯn	ə / ʔˤ  ə[n]
恪	a / khāk	ɑ / k'ɑk	a / khak	a / khlaag	a / khak	a / khlaag	? / ?
恫	o / ƛ(h)ōŋ	u / t'uŋ	u / thuŋ	o / kh-looŋ	o / thoŋ	o / thooŋ	? / ?
恭	o / kōŋ	u / ki ̯uŋ	u / kjuŋ	o / kloŋ	o / kioŋ	o / kloŋ	o / k <r> oŋ
息	ə / sǝk	ə / si ̯ək	ə / sjək	ɯ / slɯɡ	ə / siək	ɯ / slɯɡ	ə / s  ək
悁	? / ?	a / ʔi ̯wan	a / ʔwjian	e / qʷen	a / iuan	e / qʷen	e / qʷ  en
悄	e / shewʔ	o / ts'i ̯og	a / tshjagwx	e / shewʔ	o / tshiô	e / shewʔ	? / ?
悔	ə / smǝ̄ʔ	ə / xməg	ə / hməgx	ɯ / m̥hɯɯʔ	ə / xə	ɯ / hmɯɯʔ	ə / m̥ˤ  əʔ
悖	ə / bǝ̄ts	ə / b'əd	ə / bədh	ɯ / bɯɯds	ə / byət	ɯ / bɯɯds	u / [b]ˤ  ut
悠	? / ?	ʊ / di ̯ʊg	ə / rəgw	ɯ / lɯw	u / ʎiu	ɯ / lɯw	i / l  iw
患	? / ?	a / g'wan	a / gruanh	o / groons	a / ɣoan	o / groons	o / [g]ˤ r o[n] -s
悲	ə / prǝj	æ / pi ̯ær	ə / pjiəd	ɯ / prɯl	ə / piəi	ɯ / prɯl	ə / p r əj
悸	? / ?	æ / g'i ̯wæd	i / gwjidh	i / gʷids	e / giuet	i / gʷids	i / [g]ʷ  i[t] -s
悼	? / ?	o / d'iok	a / diagwh	e / deewgs	o / dyôk	e / deewɢs	a / [d]ˤ  awk -s
情	? / ?	e / dz'i ̯e ̆ŋ	i / dzjiŋ	e / sgeŋ	e / dzieŋ	e / zleŋ	e / [dz]  eŋ
惔	a / l(h)ām	ɑ / d'ɑm	a / dam	a / g-laam	a / dam	a / l'aam	? / ?
惕	? / ?	e / t'iek	i / thik	e / l̥eeg	e / thyek	e / lheeg	e / l̥ˤ  ek
惙	? / ?	a / ti ̯wat	a / trjuat	o / k-lod	a / tiuat	o / tod	? / ?
惟	? / ?	æ / di ̯wær	i / rwjid	i / ɢʷi	e / ʎiuei	i / ɢʷi	i / ɢʷ  ij
惠	i / w(h)īts	ə / g'iwəd	i / gwidh	i / ɢʷiids	e / ɣyuet	i / ɢʷiids	i / [ɢ]ʷˤ  i[j] -s
惡	a / ʔāk	o / ʔo	a / ʔag	a / qaa	a / a	a / qaa	a / ʔˤ  ak -s
惸	? / ?	e / g'i ̯we ̆ŋ	i / gwjiŋ	e / gʷeŋ	e / giueŋ	e / gʷeŋ	? / ?
愆	a / khran	a / k'i ̯an	a / khjian	a / khran	a / khian	a / khran	a / C. qʰ r a[n]
愈	o / loʔ	u / di ̯u	u / rugx	o / loʔ	o / ʎio	o / loʔ	o / l  oʔ
愉	o / lo	u / di ̯u	u / rug	o / lo	o / ʎio	o / lo	o / l  o
意	ə / ʔǝks	ə / ʔi ̯əg	ə / ʔjəgh	ɯ / qɯɡs	ə / iək	ɯ / qɯɡs	ə / ʔ (r) ək -s
愒	a / khrat	ɑ / k'ɑd	a / khadh	a / khaads	a / khat	a / khaads	a / C. qʰ <r> at
愚	o / ŋo	u / ŋi ̯u	u / ŋjug	o / ŋo	o / ŋio	o / ŋo	? / ?
愛	ə / ʔǝ̄js	ə / ʔəd	ə / ʔədh	ɯ / qɯɯds	ə / ət	ɯ / qɯɯds	ə / [q]ˤ  ə[p] -s
愬	a / sŋ(h)āks	ɑ / sɑg	a / sagh	a / sŋaags	a / sak	a / sŋaags	a / s- ŋˤ  ak -s
慄	i / rhit	e / li ̯e ̆t	i / ljit	i / [b]rig	e / liet	i / rig	? / ?
慅	u / shūʔ	ʊ / ts'ʊg	ə / tshəgwx	u / skhuuʔ	u / tshu	u / shuuʔ	? / ?
慆	? / ?	ʊ / t'ʊg	ə / thəgw	u / l̥uu	u / thu	u / lhuu	? / ?
慇	? / ?	ə / ʔi ̯ən	ə / ʔjən	ɯ / qɯn	ə / iən	ɯ / qɯn	ə / ʔ  ə[r]
慉	u / ƛhuk	ʊ / xi ̯ʊk	ə / hjəkw	u / l̥hug	u / xiuk	u / hlug	u / qʰ  uk
慍	u / ʔuns	ə / ʔi ̯wən	ə / ʔjənh	u / quns	ə / iuən	u / quns	? / ?
慘	? / ?	ə / ts'əm	ə / tshəmx	u / shuumʔ	ə / tshəm	u / shluumʔ	? / ?
慝	? / ?	ə / t'ək	ə / thək	ɯ / n̥ɯɯɡ	ə / thək	ɯ / nhɯɯg	ə / n̥ˤ  ək
慢	a / mrāns	a / mwan	a / mruanh	o / mroons	a / moan	o / mroons	a / mˤ r a[n] -s
慱	o / dhōn	ɑ / d'wɑn	a / duan	o / doon	a / duan	o / doon	? / ?
慶	a / khraŋs	a / k'i ̯a ̆ŋ	a / khjiaŋh	a / khraŋs	a / khyaŋ	a / khraŋ	a / [kʰ] r aŋ -s
憂	u / ʔu	ʊ / ʔi ̯ʊg	ə / ʔjəgw	u / qu	u / iu	u / qu	u / ʔ (r) u
憎	ə / cǝ̄ŋ	ə / tsəŋ	ə / tsəŋ	ɯ / sɯɯŋ	ə / tsəŋ	ɯ / ʔsɯɯŋ	ə / [ts]ˤ  əŋ
憩	a / khrats	a / k'i ̯ad	a / khjiadh	a / khrads	a / khiat	a / khrads	a / C. qʰ <r> a[t] -s
憲	a / hars	a / xi ̯a ̆n	a / hjanh	a / qhans	a / xian	a / hŋans	a / qʰ  ar
懆	? / ?	o / ts'og	a / tshagwx	a / shaawʔ	o / tshô	a / shaawʔ	? / ?
懌	? / ?	a / di ̯ag	a / rak	a / lag	a / ʎyak	a / laag	? / ?
懟	? / ?	æ / d'i ̯wæd	ə / drwj玝h	u / g-lubs	ə / diəp	u / dubs	u / [d] r [u][p] -s
懠	? / ?	ə / dz'iər	i / dzid	i / ziil	e / dzyei	i / zliil	i / [dz]ˤ  [i]j -s
懰	? / ?	ʊ / li ̯ʊg	ə / ljəgw	u / [m]ru	u / liu	u / m·ru	? / ?
懲	? / ?	ə / d'i ̯əŋ	ə / drjəŋ	ɯ / dɯŋ	ə / diəŋ	ɯ / dɯŋ	ə / m- t r əŋ
懷	u / grūj	æ / g'wær	ə / gwrəd	u / gruul	ə / ɣoəi	u / gruul	u / [g]ˤ r uj
懼	? / ?	o / g'i ̯wo	a / gwjagh	a / gʷas	a / giua	a / gʷas	a / [g]ʷ (r) a(k) -s
戈	a / kʷāj	ɑ / kwɑ	a / kuar	o / kool	a / kuai	o / kool	a / kʷˤ  aj
戊	u / mūʔs	ʊ / mʊg	ə / məgwh	u / muus	u / mu	u / mus	u / m (r) uʔ -s
戎	u / nuŋ	ʊ / ȵi ̯ʊŋ	ə / njəŋw	u / njuŋ	ə / ȵiuəm	u / njuŋ	u / n  uŋ
成	e / deŋ	e / ȡi ̯e ̆ŋ	i / djiŋ	e / djeŋ	e / ʑieŋ	e / djeŋ	e / [d]  eŋ
我	a / ŋhājʔ	ɑ / ŋɑ	a / ŋarx	a / ŋaalʔ	a / ŋai	a / ŋaalʔ	a / ŋˤ  ajʔ
戒	? / ?	æ / kæg	ə / krəgh	ɯ / krɯɯgs	e / keək	ɯ / krɯɯgs	ə / kˤ r ək -s
戕	a / ʒ́haŋ	ɑ / kɑ	a / kar	a / kaal	a / kai	a / kaal	? / ?
戚	? / ?	ʊ / ts'iʊk	ə / sthiəkw	i / skhliiwg	u / tshyu	ɯ / shlɯɯwɢ	i / s. tʰˤ  iwk
戟	a / krak	a / ki ̯ak	a / kjak	a / krag	a / kiak	a / krag	a / [k] r ak
截	e / ʒ́(h)ēt	a / dz'iat	a / dziat	e / zeed	a / dzyat	e / zeed	e / [dz]ˤ  et
戶	a / g(h)āʔ	o / g'o	a / gagx	a / ɢaaʔ	a / ɣa	a / ɢʷaaʔ	a / m- qˤ  aʔ
戾	ə / r(h)ǝ̄ts	ə / liəd	ə / liədh	ɯ / rɯɯds	ə / lyət	ɯ / rɯɯds	e / [r]ˤ  e[t] -s
房	a / baŋ	ɑ / b'ɑŋ	a / baŋ	a / baaŋ	a / baŋ	a / baaŋ	a / [Cə-N-] p  aŋ
所	a / sraʔ	o / ʂi ̯o	a / srjagx	a / sqhraʔ	a / ʃia	a / sqhraʔ	a / qʰ  aʔ
扈	? / ?	o / g'o	a / gagx	a / ɢaaʔ	a / ɣa	a / ɢʷaaʔ	a / m- qˤ  aʔ
手	u / ƛhuʔ	ʊ / ɕi ̯ʊg	ə / hrjəgwx	ɯ / m-l̥ɯwʔ	u / ɕiu	ɯ / hnjɯwʔ	u / n̥  uʔ
才	ə / ʒ́hǝ̄	ə / dz'əg	ə / dzəg	ɯ / zɯɯ	ə / dzə	ɯ / zlɯɯ	ə / [dz]ˤ  ə
承	ə / d(h)ǝŋ	ə / ȡi ̯əŋ	ə / grjəŋ	ɯ / gljɯŋ	ə / ʑiəŋ	ɯ / gljɯŋ	ə / [m- t]  əŋ
抑	i / ʔik	ə / ʔi ̯ək	ə / ʔjək	ɯ / qlɯɡ	ə / iək	ɯ / qɯɡ	i / [ʔ] (r) ik
抗	a / khāŋs	ɑ / k'ɑŋ	a / khaŋh	a / khaaŋs	a / khaŋ	a / khaaŋs	a / kʰˤ  aŋ -s
抽	u / ƛhu	ʊ / thi ̯ʊg	ə / thrjəgw	ɯ / rl̥ɯw	u / thiu	ɯ / lhɯw	u / l̥ r u
拂	ə / phǝt	ə / p'i ̯wət	ə / phjət	ɯ / phɯd	ə / phiət	ɯ / phɯd	u / pʰ  [u]t
拔	a / b(h)āt	æ / b'wæt	ə / brət	u / bruud	ə / boət	u / bruud	o / bˤ  ot -s
拜	e / prēts	a / pwad	a / pruadh	o / proods	a / poat	o / proods	o / C. pˤ r o[t] -s
括	a / kʷāt	ɑ / kwɑt	a / kuat	o / kood	a / kuat	o / kood	? / ?
挃	? / ?	e / ti ̯e ̆t	i / trjit	i / tig	e / tiet	i / tig	? / ?
指	i / kijʔ	æ / ȶi ̯ær	i / krjidx	i / kjiʔ	e / tɕiei	i / kjiʔ	i / mə. k  ijʔ
振	ə / tǝrs	ə / ȶi ̯ən	ə / tjiən	ɯ / pljɯn	ə / tɕiən	ɯ / tjɯn	ə / t  ər
捋	o / rhōt	ɑ / lwɑt	a / luat	o / rood	a / luat	o / rood	o / [r]ˤ  ot
据	? / ?	o / ki ̯o	a / kjag	a / ka	a / kia	a / ka	a / k (r) a(k) -s
捷	? / ?	a / dz'i ̯ap	a / dzjap	e / sgeb	a / dziap	e / zeb	a / [dz]  [a]p
掇	o / tōt	ɑ / twɑt	a / tuat	o / k-lood	a / tuat	o / tood	o / t <r> ot
掌	a / taŋʔ	a / ȶi ̯aŋ	a / tjaŋx	a / tjaŋʔ	a / tɕiaŋ	a / tjaŋʔ	a / [k. t]  aŋʔ
掎	a / kajʔ	a / kia	a / kjiar	a / kal	a / kiai	a / kral	? / ?
掤	? / ?	ə / pi ̯əŋ	ə / pjiəŋ	ɯ / pɯŋ	ə / piəŋ	ɯ / pɯŋ	? / ?
控	? / ?	u / k'u ̆ŋ	u / khruŋ	o / khrooŋ	e / kheoŋ	o / khrooŋ	o / kʰˤ  oŋ -s
推	? / ?	ə / t'wər	ə / thəd	u / kh-luul	ə / thuəi	u / thuul	u / tʰˤ  uj
揄	o / lo	u / d'u	u / dug	o / loo	o / do	o / l'oo	? / ?
提	e / dhē	e / d'ieg	i / dig	e / g-lee	e / dye	e / dee	e / [d]ˤ  e
揖	i / ʔip	ə / ʔi ̯əp	ə / ʔjəp	i / qib	ə / iəp	i / qib	i / q  ip
揚	a / Łaŋ	a / di ̯aŋ	a / raŋ	a / laŋ	a / ʎiaŋ	a / laŋ	a / l  aŋ
揥	e / thēks	a / thi ̯ad	a / thrjadh	e / theds	a / thiat	e / theds	? / ?
揭	a / kat	a / k'i ̯ad	a / khjiadh	a / khrads	a / khiat	a / khrads	a / [k]  at
援	a / wan	a / gi ̯wa ̆n	a / gwjanh	a / ɢʷans	a / ɣiuan	a / ɢʷans	a / [ɢ]ʷ  a[n]
搜	u / sru	ʊ / ʂi ̯ʊg	ə / srjəgw	u / sru	u / ʃiu	u / sru	u / s r u
摧	u / ʒhūj	ə / dz'wər	ə / sdəd	u / zuul	ə / dzuəi	u / zluul	? / ?
摽	e / bhewʔ	o / p'i ̯og	a / phjiagw	e / phew	o / phiô	e / phew	e / [b]  ewʔ
撥	a / pāt	a / pat	a / pat	a / paad	a / pat	a / paad	a / pˤ  at
撮	o / shōt	ɑ / tswɑt	a / tsuat	o / skood	a / tsuat	o / ʔsood	o / [tsʰ]ˤ  ot
據	a / kas	o / ki ̯o	a / kjag	a / ka	a / kia	a / ka	a / k (r) a(k) -s
擣	u / tūʔ	ʊ / tʊg	ə / təgwx	u / tuuʔ	u / tu	u / tuuʔ	u / tˤ  uʔ
攜	? / ?	e / g'iweg	i / gwig	e / gʷee	e / ɣyue	e / gʷee	? / ?
攝	? / ?	a / niap	a / niap	e / ŋ-leeb	a / nyap	e / neeb	e / kə. n̥  ep
支	e / ke	e / ȶi ̯e ̆g	i / krjig	e / kje	e / tɕie	e / kje	e / k  e
收	i / hiw	ʊ / ɕi ̯ʊg	ə / hrjəgw	ɯ / qhjɯw	u / ɕiu	ɯ / qhljɯw	i / s- k  iw
攸	u / l(h)u (~ -iw)	ʊ / di ̯ʊg	ə / rəgw	ɯ / lɯw	u / ʎiu	ɯ / lɯw	i / l  iw
改	ə / kǝ̄ʔ	ə / kəg	ə / kəgx	ɯ / klɯɯʔ	ə / kə	ɯ / klɯɯʔ	ə / C. qˤ  əʔ
攻	o / kōŋ	u / kuŋ	u / kuŋ	o / kooŋ	o / koŋ	o / kooŋ	o / kˤ  oŋ
政	e / teŋs	e / ȶi ̯e ̆ŋ	i / tjiŋ h	e / tjeŋs	e / tɕieŋ	e / tjeŋs	e / t  eŋ -s
故	a / kās	o / ko	a / kagh	a / kaas	a / ka	a / kaas	a / kˤ  aʔ -s
敏	? / ?	ə / mi ̯əŋ	ə / mjiəŋx	ɯ / mrɯŋʔ	ə / miəŋ	ɯ / mrɯŋʔ	ə / m r ə[n]ʔ
救	? / ?	ʊ / ki ̯ʊg	ə / kjəgwh	u / kus	u / kiu	u / kus	u / s. k (r) u -s
敕	? / ?	ə / thi ̯ək	ə / thrjək	ɯ / thɯɡ	ə / thiək	ɯ / thɯɡ	? / ?
敖	? / ?	o / ŋog	a / ŋagw	a / ŋaaw	o / ŋô	a / ŋaaw	a / [ŋ]ˤ  aw
敗	? / ?	a / pad	a / pradh	a / praads	a / peat	a / praads	a / pˤ r a[t] -s
教	? / ?	o / ko ̆g	a / kragw	a / kraaw	o / keô	a / kraaw	a / s. [k]ˤ r aw
敢	a / kāmʔ	ɑ / kɑm	a / kamx	a / klaamʔ	a / kam	a / klaamʔ	a / [k]ˤ  amʔ
敦	u / tūr	ə / twər	ə / təd	u / tuul	ə / tuəi	u / tuul	u / tˤ  ur
敬	a / kraŋs	e / ki ̯e ̆ŋ	i / kjiŋh	e / kreŋs	e / kieŋ	e / kreŋs	e / k r eŋ(ʔ) -s
數	o / sroʔ sroʔs	u / ʂi ̯u	u / srjugx	o / sqroʔ	o / ʃio	o / sroʔ	o / s- r  ok
斁	a / Łiak	ɑ / tɑg	a / tagh	a / k-laags	a / tak	a / ʔl'aags	? / ?
斐	ə / phǝjʔ	ə / pi ̯wər	ə / pjəd	ɯ / pɯl	ə / piəi	ɯ / pɯl	? / ?
斗	o / tōʔ	u / tu	u / tugx	o / tooʔ	o / to	o / tooʔ	o / tˤ  oʔ
斝	a / krāʔ	ɔ / kɔ	a / kragx	a / kraaʔ	a / kea	a / kraaʔ	a / [k]ˤ r aʔ
斧	a / paʔ	o / pi ̯wo	a / pjagx	a / paʔ	a / pia	a / paʔ	a / p (r) aʔ
斨	a / ćhaŋ	a / ts'i ̯aŋ	a / tshjaŋ	a / shaŋ	a / tshia	a / shaŋ	? / ?
斬	? / ?	a / tsa ̆m	a / tsramx	e / skreemʔ	a / tʃeam	e / ʔsreemʔ	a / [ts] r amʔ
斯	e / se	e / si ̯e ̆g	i / sjig	e / sle	e / sie	e / se	e / s  e
新	i / sin	e / si ̯e ̆n	i / sjin	i / sliŋ	e / sien	i / siŋ	i / s. tsʰ  i[n]
方	a / paŋ	a / pi ̯waŋ	a / pjaŋ	a / paŋ	a / piaŋ	a / paŋ	a / p  aŋ
施	a / ƛaj	a / ɕia	a / hrjar	a / l̥al	a / ɕiai	a / hljal	a / l̥  aj
旁	a / bhāŋ	ɑ / b'ɑŋ	a / baŋ	a / baaŋ	a / baŋ	a / baaŋ	a / [b]ˤ  aŋ
旂	ə / gǝr	ə / g'i ̯ər	ə / gjəd	ɯ / gɯl	ə / giəi	ɯ / gɯl	ə / C. [ɢ]  ər
旃	a / tan	a / ȶi ̯an	a / tjan	a / tjan	a / tɕian	a / tjan	? / ?
旄	a / mhāw	o / mog	a / magw	a / maaw	o / mô	a / maaw	a / mˤ  aw
旅	a / raʔ	o / li ̯o	a / ljagx	a / [g]raʔ	a / lia	a / g·raʔ	a / [r]  aʔ
旆	a / b(h)āts	ɑ / b'wɑd	a / buadh	o / boods	a / buat	o / boobs	? / ?
旌	? / ?	e / tsi ̯e ̆ŋ	i / tsjiŋ	e / skeŋ	e / tsieŋ	e / ʔsleŋ	e / [ts]  eŋ
族	? / ?	u / dz'uk	u / dzuk	o / zoog	o / dzok	o / zoog	o / [dz]ˤ  ok
旐	? / ?	o / d'i ̯og	a / drjagwx	e / rlewʔ	o / diô	e / l'ewʔ	? / ?
旒	? / ?	ʊ / li ̯ʊg	ə / ljəgw	u / ru	u / liu	u / ru	u / [r]  u
旟	a / la	o / di ̯o	a / rag	a / la	a / ʎia	a / la	? / ?
日	i / nit	e / ȵi ̯e ̆t	i / njit	i / mljig	e / ȵiet	i / njig	i / C. n  ik
旦	a / tāns	ɑ / tɑn	a / tanh	a / taans	a / tan	a / taans	a / tˤ  an -s
旨	i / kijʔ	æ / ȶi ̯ær	i / krjidx	i / kjiʔ	e / tɕiei	i / kjiʔ	i / k  ijʔ
旬	i / whin	e / dzi ̯we ̆n	i / sgwjin	i / sɢʷin	e / ziuen	i / sɢʷin	i / s-N- qʷ  i[n]
旱	a / ghānʔ	ɑ / g'ɑn	a / ganx	a / gaanʔ	a / ɣan	a / gaanʔ	a / [g]ˤ  a[r]ʔ
昆	u / kūn	ə / kwən	ə / kwən	u / kuun	ə / kuən	u / kuun	u / [k]ˤ  u[n]
昊	u / g(h)ūʔ	ʊ / g'ʊg	ə / gəgwx	u / guuʔ	u / ɣu	u / guuʔ	? / ?
昌	a / thaŋ	a / ȶʻi ̯aŋ	a / thjaŋ	a / thjaŋ	a / tɕhia	a / thjaŋ	? / ?
明	a / mraŋ	a / mi ̯a ̆ŋ	a / mjiaŋ	a / mraŋ	a / myaŋ	a / mraŋ	a / m r aŋ
昏	ə / smǝ̄n	ə / xən	ə / hnən	ɯ / m̥hɯɯn	ə / xyən	ɯ / hmɯɯn	u / m̥ˤ  u[n]
易	e / leks	e / di ̯e ̆g	i / righ	e / legs	e / ʎiek	e / leegs	e / l  ek -s
昔	a / siak	a / si ̯ag	a / sjiak	a / sqag	a / syak	a / sjaag	a / [s]  Ak
星	e / shēŋ	e / sieŋ	i / siŋ	e / sqeeŋ	e / syeŋ	e / sleeŋ	e / s- tsʰˤ  eŋ
春	u / thun	ə / ȶʻi ̯wən	ə / thjən	u / thjun	ə / tɕhiuən	u / thjun	u / tʰ  un
昭	a / taw	o / ȶi ̯og	a / tjagw	e / kljew	o / tɕiô	e / tjew	a / t  aw
昴	u / m(h)rūʔ	ʊ / mʊ̆g	ə / mrəgwx	u / mruuʔ	e / meu	u / mruuʔ	u / mˤ r uʔ
時	ə / d(h)ǝ	ə / ȡi ̯əg	ə / djəg	ɯ / djɯ	ə / ʑiə	ɯ / djɯ	ə / [d]  ə
晏	a / ʔrāns	ɑ / ʔɑn	a / ʔanh	a / qaans	a / an	a / qaans	a / ʔˤ <r> a[n] -s
晞	? / ?	ə / xi ̯ər	ə / hjəd	ɯ / qhɯl	ə / xiəi	ɯ / hlɯl	? / ?
晢	a / tat	a / ȶi ̯ad	a / tjadh	e / kljeds	a / tɕiat	e / ʔljeds	a / t  [a]t
晣	? / ?	a / ȶi ̯at	a / tjat	e / kljed	a / tɕiat	e / ʔljed	? / ?
晦	? / ?	ə / xməg	ə / hməgh	ɯ / m̥hɯɯ	ə / xə	ɯ / hmɯɯs	ə / m̥ˤ  ək -s
晨	? / ?	ə / ȡi ̯ən	ə / djiən	ɯ / bljɯn	ə / ʑiən	ɯ / djɯn	ə / sə- [d]  ər
景	a / kraŋʔ	a / ki ̯a ̆ŋ	a / kjiaŋx	a / kraŋʔ	a / kyaŋ	a / kraŋʔ	a / C. q r aŋʔ
暇	a / g(h)rās	ɔ / g'ɔ	a / gragh	a / graas	a / ɣea	a / graas	a / [g]ˤ r a -s
暑	a / taʔ	o / ɕi ̯o	a / hrjagx	a / qhljaʔ	a / ɕia	a / hjaʔ	a / s- tʰ  aʔ
暱	ə / nrǝk	e / ni ̯e ̆t	i / nrjit	i / nig	e / niet	i / nig	i / n <r> ik
暴	a / bākʷs	o / b'ok	a / bagwh	o / boowgs	o / bôk	o / boowɢs	a / m- pˤ  awk
曀	i / ʔīts	e / ʔied	i / ʔidh	i / qiigs	e / yet	i / qiigs	? / ?
曜	? / ?	o / di ̯ok	a / ragwh	e / lewgs	o / ʎiôk	e / lewɢs	e / l  ewk -s
曲	o / khok	u / k'i ̯uk	u / khjuk	o / khog	o / khiok	o / khog	o / kʰ (r) ok
曷	a / ghāt	a / g'at	a / gat	a / gaad	a / ɣat	a / gaad	a / [g]ˤ  at
書	a / ta	o / ɕi ̯o	a / hrjag	a / qhlja	a / ɕia	a / hlja	a / s- t  a
曹	? / ?	ʊ / dz'ʊg	ə / dzəgw	u / zuu	u / dzu	u / zluu	u / N- tsˤ  u
替	i / thīts (~ ƛ(h)-, ~ sl(h)-, ~ sn(h)-, ~ srh-, ~ -ǝ̄ts, ~ -ē(k)s)	e / t'ied	i / thidh	i / thiids	e / thyet	i / thiids	i / n̥ˤ  i[t] -s
朅	a / khat	a / k'i ̯at	a / khjiat	a / khrad	a / khiat	a / khrad	? / ?
月	o / ŋot	a / ŋi ̯wa ̆t	a / ŋjuat	o / ŋod	a / ŋiuat	o / ŋod	a / [ŋ]ʷ  at
有	ə / whǝʔ	u / gi ̯ug	ə / gwjəgx	ɯ / ɢʷɯʔ	u / ɣiu	ɯ / ɢʷɯʔ	ə / [ɢ]ʷ  əʔ
朋	ə / bhǝ̄ŋ	ə / b'əŋ	ə / bəŋ	ɯ / bɯɯŋ	ə / bəŋ	ɯ / bɯɯŋ	ə / [b]ˤ  əŋ
服	ə / bǝk	ə / b'i ̯ək	ə / bjək	ɯ / bɯɡ	ə / biək	ɯ / bɯɡ	ə / [b]  ək
望	? / ?	a / mi ̯waŋ	a / mjaŋ	a / maŋ	a / miaŋ	a / maŋ	a / m  aŋ
朝	a / dhraw traw	o / ti ̯og	a / trjagw	e / p-lew	o / tiô	e / ʔr[ew	a / t <r> aw
期	ə / gǝ	ə / ki ̯əg	ə / kjəg	ɯ / kɯ	ə / kiə	ɯ / kɯ	ə / [g] (r) ə
木	o / mhōk	u / muk	u / muk	o / moog	o / mok	o / moog	o / C. mˤ  ok
朽	u / huʔ	ʊ / xi ̯ʊg	ə / hjəgwx	u / qhluʔ	u / xiu	u / qhluʔ	u / qʰ (r) uʔ
李	ə / rhǝʔ	ə / li ̯əg	ə / ljəgx	ɯ / [b]rɯʔ	ə / liə	ɯ / rɯʔ	ə / C. r  əʔ
杜	a / d(h)āʔ	o / d'o	a / dagx	a / g-laaʔ	a / da	a / l'aaʔ	? / ?
杝	a / Łhajʔ	a / thia	a / thrjarx	a / rl̥alʔ	a / thiai	a / lhalʔ	? / ?
杞	ə / khlǝʔ	ə / k'i ̯əg	ə / khjəgx	ɯ / khɯʔ	ə / khiə	ɯ / khɯʔ	? / ?
束	o / ƛok	u / ɕi ̯uk	u / hrjuk	o / l̥g	o / ɕiok	o / hljog	o / s- tʰ  ok
杭	a / ghāŋ	ɑ / g'ɑŋ	a / gaŋ	a / gaaŋ	a / ɣaŋ	a / gaaŋ	a / [m]- [g]ˤ  aŋ
