HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
名	e / mheŋ	e / mi ̯e ̆ŋ	i / mjiŋ	e / meŋ	e / mieŋ	e / meŋ	e / C. m  eŋ
后	o / ghōʔ ghōʔs	u / g'u	u / gugx	o / gooʔ	o / ɣo	o / gooʔ	o / ɢˤ (r) oʔ
吐	a / thāʔ	o / t'o	a / thagx	a / kh-laaʔ	a / tha	a / lhaaʔ	a / tʰˤ  aʔ -s
向	a / haŋs	a / xi ̯aŋ	a / hjaŋx	a / qhaŋʔ	a / xiaŋ	a / qhaŋʔ	a / n̥  aŋ -s
君	u / kur	ə / ki ̯wən	ə / kjən	u / klun	ə / kiuən	u / klun	u / C. q  ur
吠	a / bats	a / b'i ̯wa ̆d	a / bjadh	o / bods	a / biuat	o / bods	o / Cə. b  o[t] -s
否	ə / pǝʔ	ə / b'i ̯wəg	ə / bjiəgx	ɯ / brɯʔ	ə / biə	ɯ / brɯʔ	ə / p  əʔ
吪	o / ŋ(h)ōj	ɑ / ŋwɑ	a / ŋwar	a / ŋʷaal	a / ŋuai	a / ŋʷaal	a / m- qʷʰˤ  aj
吹	o / thoj	a / ȶʻwia	a / thjar	o / khjol	a / tɕhiuai	o / khjol	o / tʰ  o[r]
告	u / kūks kūk kōk	ʊ / kʊg	ə / kəgwh	u / kuugs	u / kuk	u / kuugs	u / kˤ  uk -s
周	u / tu	ʊ / ȶi ̯ʊg	ə / tjəgw	ɯ / tjɯw	u / tɕiu	ɯ / tjɯw	i / t  iw
呱	a / kʷā	o / kwo	a / kwag	a / kʷaa	a / kua	a / kʷaa	a / kʷˤ  a
呶	u / nrū	ɔ / nɔ	a / nrag	a / rnaa	a / nea	a / rnaa	? / ?
呼	a / swā	o / xo	a / hag	a / qhlaa	a / xa	a / qhaa	a / qʰˤ  a -s
命	i / mriŋs	e / mi ̯e ̆ŋ	i / mjiŋh	e / mreŋs	e / mieŋ	e / mreŋs	i / m- r  iŋ -s
和	a / ghʷāj	ɑ / g'wɑ	a / guar	o / gool	a / ɣuai	o / gool	o / [ɢ]ˤ  oj
咎	u / ghuʔ	ʊ / kʊg	ə / kəgw	ɯ / kɯɯw	u / kyu	ɯ / kɯɯw	u / [g] (r) uʔ
咢	? / ?	ɑ / ŋɑk	a / ŋak	a / ŋaag	a / ŋak	a / ŋaag	a / [ŋ]ˤ  ak
咨	i / cij	æ / tsi ̯ær	i / tsjid	i / sti	e / tsiei	i / ʔsli	i / [ts]  ij
咮	o / troks	ʊ / ti ̯ʊg	ə / trjəgw	u / tu	u / tiu	u / tu	o / tˤ <r> ok -s
咺	a / swarʔ	a / xi ̯wa ̆n	a / hjuanx	o / qhonʔ	a / xiuan	o / qhonʔ	a / qʷʰ  arʔ
咽	? / ?	e / ʔien	i / ʔin	i / qiin	e / yen	i / qiin	i / ʔˤ  i[n]
哀	ə / ʔǝ̄j	ə / ʔər	ə / ʔəd	ɯ / qɯɯl	ə / yən	ɯ / qɯɯl	ə / ʔˤ  əj
哆	a / thiajʔ	ɑ / tɑ	a / tarx	a / k-laalʔ	a / tai	a / ʔl'aalʔ	a / [t- l̥]  ajʔ
哉	ə / ćǝ̄	ə / tsəg	ə / tsəg	ɯ / stɯɯ	ə / tsə	ɯ / ʔslɯɯ	ə / [ts]ˤ  ə
員	a / wran	a / gi ̯wan	a / gwjuan	o / ɢon	a / ɣiuan	o / ɢon	ə / [ɢ]ʷ  ə[n]
哲	a / trat	a / ti ̯at	a / trjat	e / k-led	a / tiat	e / ʔl'ed	e / t r [e]t
唐	a / lhāŋ	ɑ / d'ɑŋ	a / daŋ	a / g-laaŋ	a / daŋ	a / gl'aaŋ	a / r̥ˤ  aŋ
唪	? / ?	u / b'uŋ	u / buŋx	o / booŋʔ	o / boŋ	o / booŋʔ	? / ?
售	u / dhus	ʊ / ȡi ̯ʊg	ə / djəgwh	u / gjus	u / ʑiu	u / djus	? / ?
唯	i / wij	æ / di ̯wær	i / rwjid	i / ɢʷi	e / ʎiuei	i / ɢʷi	i / ɢʷ  ij
商	a / taŋ	a / ɕi ̯aŋ	a / hrjaŋ	a / qhjaŋ	a / ɕiaŋ	a / hljaŋ	a / s- t  aŋ
啍	? / ?	ə / t'wən	ə / thən	u / thuun	ə / thuən	u / thuun	? / ?
問	ə / mhǝns	ə / mi ̯wən	ə / mjənh	ɯ / mɯns	ə / miən	ɯ / mɯns	u / C. m  u[n] -s
善	a / d(h)arʔ	a / ȡi ̯an	a / djanx	e / djenʔ	a / ʑian	e / gjenʔ	e / [g]  e[n]ʔ
喈	ə / krǝ̄j	æ / kær	i / krid	i / krii	e / kei	i / kriil	ə / kˤ r əj
喙	? / ?	a / xi ̯wa ̆d	a / hjuadh	o / qhlods	a / xiuat	o / hlods	o / l̥  o[rʔ] -s
喜	? / ?	ə / xi ̯əg	ə / hjəgx	ɯ / qhɯʔ	ə / xiə	ɯ / qhlɯʔ	ə / qʰ (r) əʔ
喤	? / ?	a / xwa ̆ŋ	a / hwraŋ	a / qhʷraaŋ	a / xoaŋ	a / qhʷraaŋ	? / ?
喪	? / ?	ɑ / sɑŋ	a / saŋh	a / smaaŋs	a / saŋ	a / smaaŋs	a / s- mˤ  aŋ -s
喬	? / ?	o / ki ̯og	a / kjagw	e / krew	o / kiô	e / krew	a / [N- k] (r) aw
單	? / ?	ɑ / tɑn	a / tan	a / taan	a / tan	a / taan	a / d  ar
嗟	a / ciaj	a / tsia	a / tsjar	a / skal	a / tsyai	a / ʔsljal	a / ts  Aj
嗣	ə / slhǝs	ə / dzi ̯əg	ə / sdjəgh	ɯ / ljɯ	ə / ziə	ɯ / ljɯ	ə / sə. l  ə -s
嗷	a / ŋ(h)āw	o / ŋog	a / ŋagw	a / ŋaaw	o / ŋô	a / ŋaaw	? / ?
嘆	a / snārs	ɑ / t'ɑn	a / hnan	a / n̥aan	a / than	a / nhaan	a / n̥ˤ  ar -s
嘉	a / krāj	a / ka	a / krar	a / kraal	a / keai	a / kraal	a / kˤ <r> aj
嘌	? / ?	o / p'i ̯og	a / phjiagw	e / phew	o / phiô	e / phew	? / ?
嘏	? / ?	ɔ / kɔ	a / kragx	a / kraaʔ	a / kea	a / kraaʔ	? / ?
嘒	i / swīts	a / xiwad	a / hwiadh	e / qhʷeeds	a / xyuat	e / qhʷeeds	i / qʷʰˤ  i[t] -s
嘗	a / d(h)aŋ	a / ȡi ̯aŋ	a / djaŋ	a / gljaŋ	a / ʑiaŋ	a / djaŋ	a / Cə. d  aŋ
嘯	i / shīws (~ -kʷs)	ʊ / siʊk	ə / siəgwh	ɯ / slɯɯwgs	u / syuk	ɯ / sɯɯwɢs	i / sˤ  iw(k) -s
嘵	? / ?	o / xiog	a / hŋiagw	e / ŋ̊heew	o / xyô	e / hŋeew	? / ?
嘽	a / thār	ɑ / t'ɑn	a / than	a / thaan	a / than	a / thaan	a / tʰˤ  ar
噎	i / ʔīt	e / ʔiet	i / ʔit	i / qiig	e / yet	i / qiig	i / qˤ  ik
噦	a / swāts	ɑ / xwɑd	a / hwadh	a / qhʷaads	a / xuat	a / qhʷaads	? / ?
噳	? / ?	o / ŋi ̯wo	a / ŋwjagx	a / ŋʷaʔ	a / ŋiua	a / ŋʷaʔ	? / ?
嚏	i / tīts	e / tied	i / tidh	i / tiigs	e / tyet	i / tiigs	i / [t]ˤ  i[t] -s
嚴	? / ?	a / ŋi ̯am	a / ŋjam	a / ŋgam	a / ŋiam	a / ŋam	a / ŋ (r) am
嚶	? / ?	e / ʔe ̆ŋ	i / ʔriŋ	e / qreeŋ	e / eŋ	e / qreeŋ	? / ?
囂	? / ?	o / ŋog	a / ŋagw	a / ŋaaw	o / ŋô	a / ŋaaw	a / [ŋ]ˤ  aw
囊	a / nāŋ	ɑ / nɑŋ	a / naŋ	a / naaŋ	a / naŋ	a / naaŋ	a / nˤ  aŋ
囚	? / ?	ʊ / dzi ̯ʊg	ə / rjəgw	u / lju	u / ziu	u / lju	u / sə. l  u
四	? / ?	e / si ̯e ̆d	i / sjidh	i / ph-ljids	e / siet	i / hljids	i / s. l  i[j] -s
回	ə / wǝ̄j	ə / g'wər	ə / gwəd	u / guul	ə / ɣuəi	u / guul	ə / [ɢ]ʷˤ  əj
囷	? / ?	æ / k'i ̯wæn	ə / khjiən	u / khrun	ə / khiuən	u / khrun	u / kʰ r un
固	a / kā(ʔ)s	o / ko	a / kagh	a / kaas	a / ka	a / kaas	a / [k]ˤ  a -s
囿	ə / whǝks	u / gi ̯ug	ə / gwjəgh	ɯ / ɢʷɯ	u / ɣiu	ɯ / ɢʷɯ	ə / [ɢ]ʷ  ək
圃	a / pāʔ	o / po	a / pagx	a / paaʔ	a / pa	a / paaʔ	? / ?
圉	a / ŋ(h)(r)aʔ	o / ŋi ̯o	a / ŋjagx	a / ŋaʔ	a / ŋia	a / ŋaʔ	a / m- qʰ <r> aʔ
國	ə / kʷǝ̄k	ə / kwək	ə / kwək	ɯ / kʷɯɯg	ə / kuək	ɯ / kʷɯɯg	ə / [C. q]ʷˤ  ək
圍	? / ?	ə / gi ̯wər	ə / gwjəd	u / ɢul	ə / ɣiuəi	ɯ / ɢʷɯl	ə / [ɢ]ʷ  ə[j]
園	a / whan	ɑ / ŋwɑn	a / ŋuan	o / ŋgoon	a / ŋuan	o / ŋoon	a / C. ɢʷ  a[n]
圖	a / dā	ə / pi ̯wəg	ə / pjiəgx	ɯ / prɯʔ	ə / piə	ɯ / prɯʔ	a / [d]ˤ  a
土	a / thāʔ	o / t'o	a / thagx	a / kh-laaʔ	a / tha	a / lhaaʔ	a / tʰˤ  aʔ
在	ə / ʒ́hǝ̄ʔ	ə / dz'əg	ə / dzəgx	ɯ / zɯɯʔ	ə / dzə	ɯ / zlɯɯʔ	ə / [dz]ˤ  əʔ
圭	e / kʷē	e / kiweg	i / kwig	e / kʷee	e / kyue	e / kʷee	e / [k]ʷˤ  e
地	a / Łhajs	a / d'ia	a / djarh	e / g-lels	a / diai	e / l'jeels	e / [l]ˤ  ej -s
